Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Sum,Difference Sum,Absolute Difference Sum
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0
2,2,3,0,0,1,0,-2,1,0,0,1,0,2,4,30,12,16
1,2,0,-2,-4,1,0,0,1,1,0,-1,0,2,4,39,4,18
,,,,,,,,,,,,,,,0,0,0
2,1,0,-1,-2,1,2,-1,0,1,0,1,0,2,4,34,8,16
3,1,0,0,-4,1,1,-2,1,0,0,1,0,3,4,35,6,18
,,,,,,,,,,,,,,,0,0,0
3,0,1,0,-2,1,2,-2,1,1,0,1,0,2,4,32,9,17
1,1,2,-1,-4,1,0,-2,-1,1,0,1,0,2,3,40,3,19
,,,,,,,,,,,,,,,0,0,0
3,0,0,0,0,1,0,-2,0,1,0,0,0,2,4,35,6,10
2,0,0,0,-2,1,0,-2,-1,0,0,-1,0,2,4,41,1,13
,,,,,,,,,,,,,,,0,0,0
2,2,0,0,-2,1,0,-2,-1,0,0,1,0,2,4,37,5,15
2,1,0,0,-4,1,0,-2,-1,0,0,-1,-1,2,4,43,-1,17
,,,,,,,,,,,,,,,0,0,0
2,0,0,0,0,1,2,-2,1,1,0,0,0,2,4,33,9,13
2,2,0,-1,-2,1,0,-1,1,0,0,-1,0,3,4,36,6,16
,,,,,,,,,,,,,,,0,0,0
2,0,0,0,0,1,2,0,0,1,0,0,0,3,4,31,11,11
0,0,0,-2,-2,1,1,-2,0,0,0,0,0,2,4,42,2,14
,,,,,,,,,,,,,,,0,0,0
2,2,0,0,-2,1,0,0,0,1,0,1,-1,4,4,32,10,16
2,0,0,0,-4,1,0,-2,-1,0,0,0,0,2,4,42,0,14
,,,,,,,,,,,,,,,0,0,0
2,0,0,0,-2,1,1,-1,1,0,0,1,0,2,4,35,7,13
2,1,0,0,-2,1,0,-2,-1,2,-1,0,-1,2,4,39,3,17
,,,,,,,,,,,,,,,0,0,0
2,2,0,0,-2,1,0,0,0,2,0,0,0,3,4,32,10,14
2,2,0,0,-4,1,0,-2,-1,0,0,-1,-1,2,4,42,0,18
,,,,,,,,,,,,,,,0,0,0
2,0,0,0,-2,1,2,-2,0,1,0,0,0,2,4,36,6,14
2,1,0,-2,-2,1,0,-2,-1,0,0,-1,0,2,4,42,0,16
,,,,,,,,,,,,,,,0,0,0
2,2,0,0,-2,1,0,0,-1,1,0,1,0,2,4,34,8,14
2,2,0,0,-4,1,0,-2,-1,0,0,0,0,3,4,39,3,17
,,,,,,,,,,,,,,,0,0,0
2,0,0,0,-2,1,1,-1,-1,2,0,1,0,2,4,35,7,15
2,1,0,,,,,,,,,,,,,12,1,1
